AEROPUERTOS,ENTRADAS,SALIDAS,MES,AÑO,
PUNTA CANA,322652,345654,ENERO,2017,
LAS AMERICAS (JFPG),155261,185174,ENERO,2017,
CIBAO,54399,66235,ENERO,2017,
GREGORIO LUPERÓN,63824,65470,ENERO,2017,
LA ROMANA,15827,17078,ENERO,2017,
JUAN BOSCH,10206,10356,ENERO,2017,
JOAQUÍN BALAGUER,1775,2143,ENERO,2017,
AERODROMO ARROYO BARRIL,1155,1090,ENERO,2017,
PUNTA CANA,314069,312584,FEBRERO,2017,
LAS AMERICAS (JFPG),129142,135961,FEBRERO,2017,
CIBAO,47105,50678,FEBRERO,2017,
GREGORIO LUPERÓN,59531,58867,FEBRERO,2017,
LA ROMANA,14936,15140,FEBRERO,2017,
JUAN BOSCH,9785,9478,FEBRERO,2017,
JOAQUÍN BALAGUER,1775,2143,FEBRERO,2017,
MARIA MONTEZ,1,1,FEBRERO,2017,
AERODROMO ARROYO BARRIL,1386,1341,FEBRERO,2017,
PUNTA CANA,349221,356245,MARZO,2017,
LAS AMERICAS (JFPG),140351,156952,MARZO,2017,
CIBAO,47643,54736,MARZO,2017,
GREGORIO LUPERÓN,62498,67486,MARZO,2017,
LA ROMANA,14579,16224,MARZO,2017,
JUAN BOSCH,9578,10581,MARZO,2017,
JOAQUÍN BALAGUER,1720,1899,MARZO,2017,
MARIA MONTEZ,6,6,MARZO,2017,
AERODROMO ARROYO BARRIL,892,841,MARZO,2017,
PUNTA CANA,338691,354872,ABRIL,2017,
LAS AMERICAS (JFPG),158780,164190,ABRIL,2017,
CIBAO,46712,48925,ABRIL,2017,
GREGORIO LUPERÓN,45976,55671,ABRIL,2017,
LA ROMANA,10713,12825,ABRIL,2017,
JUAN BOSCH,6280,7817,ABRIL,2017,
JOAQUÍN BALAGUER,1830,1905,ABRIL,2017,
MARIA MONTEZ,3,0,ABRIL,2017,
AERODROMO ARROYO BARRIL,352,349,ABRIL,2017,
PUNTA CANA,290685,295821,MAYO,2017,
LAS AMERICAS (JFPG),146193,152244,MAYO,2017,
CIBAO,50364,54409,MAYO,2017,
GREGORIO LUPERÓN,28017,29861,MAYO,2017,
LA ROMANA,3467,4654,MAYO,2017,
JUAN BOSCH,2556,2640,MAYO,2017,
JOAQUÍN BALAGUER,2107,2024,MAYO,2017,
MARIA MONTEZ,0,0,MAYO,2017,
AERODROMO ARROYO BARRIL,363,351,MAYO,2017,
